001a,external\ps3\ep1\scene\001a.png
oko2_def_0,external\ps3\ep8\sprite\oko2_def_0.png
oko2_def_1,external\ps3\ep8\sprite\oko2_def_1.png
oko2_def_2,external\ps3\ep8\sprite\oko2_def_2.png
oko_def_0,external\ps3\ep7\sprite\oko_def_0.png
oko_def_1,external\ps3\ep7\sprite\oko_def_1.png
oko_def_2,external\ps3\ep7\sprite\oko_def_2.png
oko_kumon_0,external\ps3\ep8\sprite\oko_kumon_0.png
oko_kumon_1,external\ps3\ep8\sprite\oko_kumon_1.png
oko_kumon_2,external\ps3\ep8\sprite\oko_kumon_2.png
oko_niyari_0,external\ps3\ep8\sprite\oko_niyari_0.png
oko_niyari_1,external\ps3\ep8\sprite\oko_niyari_1.png
oko_niyari_2,external\ps3\ep8\sprite\oko_niyari_2.png
oko_odoroki_0,external\ps3\ep8\sprite\oko_odoroki_0.png
oko_odoroki_1,external\ps3\ep8\sprite\oko_odoroki_1.png
oko_odoroki_2,external\ps3\ep8\sprite\oko_odoroki_2.png
oko_sakebi_0,external\ps3\ep8\sprite\oko_sakebi_0.png
oko_sakebi_1,external\ps3\ep8\sprite\oko_sakebi_1.png
oko_sakebi_2,external\ps3\ep8\sprite\oko_sakebi_2.png
omake_haikei,external\ps3\ep5\omake_haikei.png
omake_jamp,external\ps3\ep5\omake_jamp.png
omake_staff,external\ps3\ep5\omake_staff.png
omake_tip,external\ps3\ep5\omake_tip.png
oni1,external\ps3\ep1\background\oni1.png
oni_usoda,external\ps3\ep1\text\oni_usoda.png
oni_usoda_j,external\ps3\ep1\text\oni_usoda_j.png
onik001,external\ps3\ep1\tips\onik001.png
onik001_j,external\ps3\ep1\tips\onik001_j.png
onik002,external\ps3\ep1\tips\onik002.png
onik002_j,external\ps3\ep1\tips\onik002_j.png
onik003,external\ps3\ep1\tips\onik003.png
onik003_j,external\ps3\ep1\tips\onik003_j.png
onik004,external\ps3\ep1\tips\onik004.png
onik004_j,external\ps3\ep1\tips\onik004_j.png
onik005,external\ps3\ep1\tips\onik005.png
onik005_j,external\ps3\ep1\tips\onik005_j.png
onik009_02,external\ps3\ep1\tips\onik009_02.png
onik009_02_j,external\ps3\ep1\tips\onik009_02_j.png
onik010,external\ps3\ep1\tips\onik010.png
onik010_j,external\ps3\ep1\tips\onik010_j.png
onik011,external\ps3\ep1\tips\onik011.png
onik011_j,external\ps3\ep1\tips\onik011_j.png
onik012,external\ps3\ep1\tips\onik012.png
onik012_j,external\ps3\ep1\tips\onik012_j.png
onik013,external\ps3\ep1\tips\onik013.png
onik013_j,external\ps3\ep1\tips\onik013_j.png
onik014_02,external\ps3\ep1\tips\onik014_02.png
onik014_02_j,external\ps3\ep1\tips\onik014_02_j.png
oryou_def_0,external\ps3\ep4\sprite\oryou_def_0.png
oryou_def_1,external\ps3\ep4\sprite\oryou_def_1.png
oryou_def_2,external\ps3\ep4\sprite\oryou_def_2.png
oryou_sakebi_0,external\ps3\ep5\portrait\oryou_sakebi_0.png
oryou_sakebi_1,external\ps3\ep5\portrait\oryou_sakebi_1.png
oryou_sakebi_2,external\ps3\ep5\portrait\oryou_sakebi_2.png
oryou_shinken_0,external\ps3\ep4\sprite\oryou_shinken_0.png
oryou_shinken_1,external\ps3\ep4\sprite\oryou_shinken_1.png
oryou_shinken_2,external\ps3\ep4\sprite\oryou_shinken_2.png
oryou_warai_0,external\ps3\ep4\portrait\oryou_warai_0.png
oryou_warai_1,external\ps3\ep4\portrait\oryou_warai_1.png
oryou_warai_2,external\ps3\ep4\portrait\oryou_warai_2.png
oyashirosama,external\ps3\ep6\background\oyashirosama.png
re1a_bikkuri_a1_0,external\ps3\ep1\portrait\re1a_bikkuri_a1_0.png
re1a_bikkuri_a1_1,external\ps3\ep1\portrait\re1a_bikkuri_a1_1.png
re1a_bikkuri_a1_2,external\ps3\ep1\portrait\re1a_bikkuri_a1_2.png
re1a_def_a1_0,external\ps3\ep1\sprite\re1a_def_a1_0.png
re1a_def_a1_1,external\ps3\ep1\sprite\re1a_def_a1_1.png
re1a_def_a1_2,external\ps3\ep1\sprite\re1a_def_a1_2.png
re1a_hau_a1_0,external\ps3\ep1\sprite\re1a_hau_a1_0.png
re1a_hau_a1_1,external\ps3\ep1\sprite\re1a_hau_a1_1.png
re1a_hau_a1_2,external\ps3\ep1\sprite\re1a_hau_a1_2.png
re1a_hig_def_a1_0,external\ps3\ep1\portrait\re1a_hig_def_a1_0.png
re1a_hig_def_a1_1,external\ps3\ep1\portrait\re1a_hig_def_a1_1.png
re1a_hig_def_a1_2,external\ps3\ep1\portrait\re1a_hig_def_a1_2.png
re1a_hig_muhyou_a1_0,external\ps3\ep1\portrait\re1a_hig_muhyou_a1_0.png
re1a_hig_muhyou_a1_1,external\ps3\ep1\portrait\re1a_hig_muhyou_a1_1.png
re1a_hig_muhyou_a1_2,external\ps3\ep1\portrait\re1a_hig_muhyou_a1_2.png
re1a_hig_okoru_a1_0,external\ps3\ep1\portrait\re1a_hig_okoru_a1_0.png
re1a_hig_okoru_a1_1,external\ps3\ep1\portrait\re1a_hig_okoru_a1_1.png
re1a_hig_okoru_a1_2,external\ps3\ep1\portrait\re1a_hig_okoru_a1_2.png
re1a_kaii_a1_0,external\ps3\ep1\sprite\re1a_kaii_a1_0.png
re1a_kaii_a1_1,external\ps3\ep1\sprite\re1a_kaii_a1_1.png
re1a_kaii_a1_2,external\ps3\ep1\sprite\re1a_kaii_a1_2.png
re1a_komaru_a1_0,external\ps3\ep1\portrait\re1a_komaru_a1_0.png
re1a_komaru_a1_1,external\ps3\ep1\portrait\re1a_komaru_a1_1.png
re1a_komaru_a1_2,external\ps3\ep1\portrait\re1a_komaru_a1_2.png
re1a_komaru_a2_0,external\ps3\ep1\sprite\re1a_komaru_a2_0.png
re1a_komaru_a2_1,external\ps3\ep1\sprite\re1a_komaru_a2_1.png
re1a_komaru_a2_2,external\ps3\ep1\sprite\re1a_komaru_a2_2.png
re1a_nande_a1_0,external\ps3\ep1\sprite\re1a_nande_a1_0.png
re1a_nande_a1_1,external\ps3\ep1\sprite\re1a_nande_a1_1.png
re1a_nande_a1_2,external\ps3\ep1\sprite\re1a_nande_a1_2.png
re1a_okoru_a1_0,external\ps3\ep1\sprite\re1a_okoru_a1_0.png
re1a_okoru_a1_1,external\ps3\ep1\sprite\re1a_okoru_a1_1.png
re1a_okoru_a1_2,external\ps3\ep1\sprite\re1a_okoru_a1_2.png
re1a_warai_a1_0,external\ps3\ep1\portrait\re1a_warai_a1_0.png
re1a_warai_a1_1,external\ps3\ep1\portrait\re1a_warai_a1_1.png
re1a_warai_a1_2,external\ps3\ep1\portrait\re1a_warai_a1_2.png
re1b_bikkuri_b1_0,external\ps3\ep1\sprite\re1b_bikkuri_b1_0.png
re1b_bikkuri_b1_1,external\ps3\ep1\sprite\re1b_bikkuri_b1_1.png
re1b_bikkuri_b1_2,external\ps3\ep1\sprite\re1b_bikkuri_b1_2.png
re1b_def_b1_0,external\ps3\ep1\sprite\re1b_def_b1_0.png
re1b_def_b1_1,external\ps3\ep1\sprite\re1b_def_b1_1.png
re1b_def_b1_2,external\ps3\ep1\sprite\re1b_def_b1_2.png
re1b_hau_b1_0,external\ps3\ep1\sprite\re1b_hau_b1_0.png
re1b_hau_b1_1,external\ps3\ep1\sprite\re1b_hau_b1_1.png
re1b_hau_b1_2,external\ps3\ep1\sprite\re1b_hau_b1_2.png
re1b_hig_def_b1_0,external\ps3\ep3\sprite\re1b_hig_def_b1_0.png
re1b_hig_def_b1_1,external\ps3\ep3\sprite\re1b_hig_def_b1_1.png
re1b_hig_def_b1_2,external\ps3\ep3\sprite\re1b_hig_def_b1_2.png
re1b_hig_okoru_b1_0,external\ps3\ep3\sprite\re1b_hig_okoru_b1_0.png
re1b_hig_okoru_b1_1,external\ps3\ep3\sprite\re1b_hig_okoru_b1_1.png
re1b_hig_okoru_b1_2,external\ps3\ep3\sprite\re1b_hig_okoru_b1_2.png
re1b_kaii_b1_0,external\ps3\ep1\sprite\re1b_kaii_b1_0.png
re1b_kaii_b1_1,external\ps3\ep1\sprite\re1b_kaii_b1_1.png
re1b_kaii_b1_2,external\ps3\ep1\sprite\re1b_kaii_b1_2.png
re1b_komaru_b1_0,external\ps3\ep1\sprite\re1b_komaru_b1_0.png
re1b_komaru_b1_1,external\ps3\ep1\sprite\re1b_komaru_b1_1.png
re1b_komaru_b1_2,external\ps3\ep1\sprite\re1b_komaru_b1_2.png
re1b_komaru_b2_0,external\ps3\ep1\sprite\re1b_komaru_b2_0.png
re1b_komaru_b2_1,external\ps3\ep1\sprite\re1b_komaru_b2_1.png
re1b_komaru_b2_2,external\ps3\ep1\sprite\re1b_komaru_b2_2.png
re1b_nande_b1_0,external\ps3\ep2\sprite\re1b_nande_b1_0.png
re1b_nande_b1_1,external\ps3\ep2\sprite\re1b_nande_b1_1.png
re1b_nande_b1_2,external\ps3\ep2\sprite\re1b_nande_b1_2.png
re1b_okoru_b1_0,external\ps3\ep1\sprite\re1b_okoru_b1_0.png
re1b_okoru_b1_1,external\ps3\ep1\sprite\re1b_okoru_b1_1.png
re1b_okoru_b1_2,external\ps3\ep1\sprite\re1b_okoru_b1_2.png
re1b_warai_b1_0,external\ps3\ep1\sprite\re1b_warai_b1_0.png
re1b_warai_b1_1,external\ps3\ep1\sprite\re1b_warai_b1_1.png
re1b_warai_b1_2,external\ps3\ep1\sprite\re1b_warai_b1_2.png
re2a_bikkuri_a1_0,external\ps3\ep1\sprite\re2a_bikkuri_a1_0.png
re2a_bikkuri_a1_1,external\ps3\ep1\sprite\re2a_bikkuri_a1_1.png
re2a_bikkuri_a1_2,external\ps3\ep1\sprite\re2a_bikkuri_a1_2.png
re2a_def_a1_0,external\ps3\ep1\sprite\re2a_def_a1_0.png
re2a_def_a1_1,external\ps3\ep1\sprite\re2a_def_a1_1.png
re2a_def_a1_2,external\ps3\ep1\sprite\re2a_def_a1_2.png
re2a_hau_a1_0,external\ps3\ep1\sprite\re2a_hau_a1_0.png
re2a_hau_a1_1,external\ps3\ep1\sprite\re2a_hau_a1_1.png
re2a_hau_a1_2,external\ps3\ep1\sprite\re2a_hau_a1_2.png
re2a_hig_def_a1_0,external\ps3\ep1\sprite\re2a_hig_def_a1_0.png
re2a_hig_def_a1_1,external\ps3\ep1\sprite\re2a_hig_def_a1_1.png
re2a_hig_def_a1_2,external\ps3\ep1\sprite\re2a_hig_def_a1_2.png
re2a_hig_muhyou_a1_0,external\ps3\ep1\sprite\re2a_hig_muhyou_a1_0.png
re2a_hig_muhyou_a1_1,external\ps3\ep1\sprite\re2a_hig_muhyou_a1_1.png
re2a_hig_muhyou_a1_2,external\ps3\ep1\sprite\re2a_hig_muhyou_a1_2.png
re2a_hig_okoru_a1_0,external\ps3\ep6\portrait\re2a_hig_okoru_a1_0.png
re2a_hig_okoru_a1_1,external\ps3\ep6\portrait\re2a_hig_okoru_a1_1.png
re2a_hig_okoru_a1_2,external\ps3\ep6\portrait\re2a_hig_okoru_a1_2.png
re2a_kaii_a1_0,external\ps3\ep1\sprite\re2a_kaii_a1_0.png
re2a_kaii_a1_1,external\ps3\ep1\sprite\re2a_kaii_a1_1.png
re2a_kaii_a1_2,external\ps3\ep1\sprite\re2a_kaii_a1_2.png
re2a_komaru_a1_0,external\ps3\ep1\sprite\re2a_komaru_a1_0.png
re2a_komaru_a1_1,external\ps3\ep1\sprite\re2a_komaru_a1_1.png
re2a_komaru_a1_2,external\ps3\ep1\sprite\re2a_komaru_a1_2.png
re2a_komaru_a2_0,external\ps3\ep1\sprite\re2a_komaru_a2_0.png
re2a_komaru_a2_1,external\ps3\ep1\sprite\re2a_komaru_a2_1.png
re2a_komaru_a2_2,external\ps3\ep1\sprite\re2a_komaru_a2_2.png
re2a_nande_a1_0,external\ps3\ep1\sprite\re2a_nande_a1_0.png
re2a_nande_a1_1,external\ps3\ep1\sprite\re2a_nande_a1_1.png
re2a_nande_a1_2,external\ps3\ep1\sprite\re2a_nande_a1_2.png
re2a_okoru_a1_0,external\ps3\ep2\sprite\re2a_okoru_a1_0.png
re2a_okoru_a1_1,external\ps3\ep2\sprite\re2a_okoru_a1_1.png
re2a_okoru_a1_2,external\ps3\ep2\sprite\re2a_okoru_a1_2.png
re2a_warai_a1_0,external\ps3\ep1\sprite\re2a_warai_a1_0.png
re2a_warai_a1_1,external\ps3\ep1\sprite\re2a_warai_a1_1.png
re2a_warai_a1_2,external\ps3\ep1\sprite\re2a_warai_a1_2.png
re2b_bikkuri_b1_0,external\ps3\ep1\sprite\re2b_bikkuri_b1_0.png
re2b_bikkuri_b1_1,external\ps3\ep1\sprite\re2b_bikkuri_b1_1.png
re2b_bikkuri_b1_2,external\ps3\ep1\sprite\re2b_bikkuri_b1_2.png
re2b_def_b1_0,external\ps3\ep1\sprite\re2b_def_b1_0.png
re2b_def_b1_1,external\ps3\ep1\sprite\re2b_def_b1_1.png
re2b_def_b1_2,external\ps3\ep1\sprite\re2b_def_b1_2.png
re2b_hau_b1_0,external\ps3\ep1\sprite\re2b_hau_b1_0.png
re2b_hau_b1_1,external\ps3\ep1\sprite\re2b_hau_b1_1.png
re2b_hau_b1_2,external\ps3\ep1\sprite\re2b_hau_b1_2.png
re2b_hig_def_b1_0,external\ps3\ep6\sprite\re2b_hig_def_b1_0.png
re2b_hig_def_b1_1,external\ps3\ep6\sprite\re2b_hig_def_b1_1.png
re2b_hig_def_b1_2,external\ps3\ep6\sprite\re2b_hig_def_b1_2.png
re2b_hig_muhyou_b1_0,external\ps3\ep1\sprite\re2b_hig_muhyou_b1_0.png
re2b_hig_muhyou_b1_1,external\ps3\ep1\sprite\re2b_hig_muhyou_b1_1.png
re2b_hig_muhyou_b1_2,external\ps3\ep1\sprite\re2b_hig_muhyou_b1_2.png
re2b_hig_okoru_b1_0,external\ps3\ep3\sprite\re2b_hig_okoru_b1_0.png
re2b_hig_okoru_b1_1,external\ps3\ep3\sprite\re2b_hig_okoru_b1_1.png
re2b_hig_okoru_b1_2,external\ps3\ep3\sprite\re2b_hig_okoru_b1_2.png
re2b_kaii_b1_0,external\ps3\ep1\sprite\re2b_kaii_b1_0.png
re2b_kaii_b1_1,external\ps3\ep1\sprite\re2b_kaii_b1_1.png
re2b_kaii_b1_2,external\ps3\ep1\sprite\re2b_kaii_b1_2.png
re2b_komaru_b1_0,external\ps3\ep1\sprite\re2b_komaru_b1_0.png
re2b_komaru_b1_1,external\ps3\ep1\sprite\re2b_komaru_b1_1.png
re2b_komaru_b1_2,external\ps3\ep1\sprite\re2b_komaru_b1_2.png
re2b_komaru_b2_0,external\ps3\ep1\sprite\re2b_komaru_b2_0.png
re2b_komaru_b2_1,external\ps3\ep1\sprite\re2b_komaru_b2_1.png
re2b_komaru_b2_2,external\ps3\ep1\sprite\re2b_komaru_b2_2.png
re2b_nande_b1_0,external\ps3\ep2\sprite\re2b_nande_b1_0.png
re2b_nande_b1_1,external\ps3\ep2\sprite\re2b_nande_b1_1.png
re2b_nande_b1_2,external\ps3\ep2\sprite\re2b_nande_b1_2.png
re2b_okoru_b1_0,external\ps3\ep2\sprite\re2b_okoru_b1_0.png
re2b_okoru_b1_1,external\ps3\ep2\sprite\re2b_okoru_b1_1.png
re2b_okoru_b1_2,external\ps3\ep2\sprite\re2b_okoru_b1_2.png
re2b_warai_b1_0,external\ps3\ep1\sprite\re2b_warai_b1_0.png
re2b_warai_b1_1,external\ps3\ep1\sprite\re2b_warai_b1_1.png
re2b_warai_b1_2,external\ps3\ep1\sprite\re2b_warai_b1_2.png
re3a_bikkuri_a1_0,external\ps3\ep1\sprite\re3a_bikkuri_a1_0.png
re3a_bikkuri_a1_1,external\ps3\ep1\sprite\re3a_bikkuri_a1_1.png
re3a_bikkuri_a1_2,external\ps3\ep1\sprite\re3a_bikkuri_a1_2.png
re3a_def_a1_0,external\ps3\ep1\sprite\re3a_def_a1_0.png
re3a_def_a1_1,external\ps3\ep1\sprite\re3a_def_a1_1.png
re3a_def_a1_2,external\ps3\ep1\sprite\re3a_def_a1_2.png
re3a_hau_a1_0,external\ps3\ep1\sprite\re3a_hau_a1_0.png
re3a_hau_a1_1,external\ps3\ep1\sprite\re3a_hau_a1_1.png
re3a_hau_a1_2,external\ps3\ep1\sprite\re3a_hau_a1_2.png
re3a_kaii_a1_0,external\ps3\ep1\sprite\re3a_kaii_a1_0.png
re3a_kaii_a1_1,external\ps3\ep1\sprite\re3a_kaii_a1_1.png
re3a_kaii_a1_2,external\ps3\ep1\sprite\re3a_kaii_a1_2.png
re3a_komaru_a1_0,external\ps3\ep1\sprite\re3a_komaru_a1_0.png
re3a_komaru_a1_1,external\ps3\ep1\sprite\re3a_komaru_a1_1.png
re3a_komaru_a1_2,external\ps3\ep1\sprite\re3a_komaru_a1_2.png
re3a_komaru_a2_0,external\ps3\ep1\sprite\re3a_komaru_a2_0.png
re3a_komaru_a2_1,external\ps3\ep1\sprite\re3a_komaru_a2_1.png
re3a_komaru_a2_2,external\ps3\ep1\sprite\re3a_komaru_a2_2.png
re3a_nande_a1_0,external\ps3\ep1\sprite\re3a_nande_a1_0.png
re3a_nande_a1_1,external\ps3\ep1\sprite\re3a_nande_a1_1.png
re3a_nande_a1_2,external\ps3\ep1\sprite\re3a_nande_a1_2.png
re3a_okoru_a1_0,external\ps3\ep6\sprite\re3a_okoru_a1_0.png
re3a_okoru_a1_1,external\ps3\ep6\sprite\re3a_okoru_a1_1.png
re3a_okoru_a1_2,external\ps3\ep6\sprite\re3a_okoru_a1_2.png
re3a_warai_a1_0,external\ps3\ep1\sprite\re3a_warai_a1_0.png
re3a_warai_a1_1,external\ps3\ep1\sprite\re3a_warai_a1_1.png
re3a_warai_a1_2,external\ps3\ep1\sprite\re3a_warai_a1_2.png
re3b_bikkuri_b1_0,external\ps3\ep1\sprite\re3b_bikkuri_b1_0.png
re3b_bikkuri_b1_1,external\ps3\ep1\sprite\re3b_bikkuri_b1_1.png
re3b_bikkuri_b1_2,external\ps3\ep1\sprite\re3b_bikkuri_b1_2.png
re3b_def_b1_0,external\ps3\ep6\sprite\re3b_def_b1_0.png
re3b_def_b1_1,external\ps3\ep6\sprite\re3b_def_b1_1.png
re3b_def_b1_2,external\ps3\ep6\sprite\re3b_def_b1_2.png
re3b_hau_b1_0,external\ps3\ep1\sprite\re3b_hau_b1_0.png
re3b_hau_b1_1,external\ps3\ep1\sprite\re3b_hau_b1_1.png
re3b_hau_b1_2,external\ps3\ep1\sprite\re3b_hau_b1_2.png
re3b_kaii_b1_0,external\ps3\ep1\sprite\re3b_kaii_b1_0.png
re3b_kaii_b1_1,external\ps3\ep1\sprite\re3b_kaii_b1_1.png
re3b_kaii_b1_2,external\ps3\ep1\sprite\re3b_kaii_b1_2.png
re3b_komaru_b1_0,external\ps3\ep6\sprite\re3b_komaru_b1_0.png
re3b_komaru_b1_1,external\ps3\ep6\sprite\re3b_komaru_b1_1.png
re3b_komaru_b1_2,external\ps3\ep6\sprite\re3b_komaru_b1_2.png
re3b_nande_b1_0,external\ps3\ep6\sprite\re3b_nande_b1_0.png
re3b_nande_b1_1,external\ps3\ep6\sprite\re3b_nande_b1_1.png
re3b_nande_b1_2,external\ps3\ep6\sprite\re3b_nande_b1_2.png
re3b_okoru_b1_0,external\ps3\ep6\sprite\re3b_okoru_b1_0.png
re3b_okoru_b1_1,external\ps3\ep6\sprite\re3b_okoru_b1_1.png
re3b_okoru_b1_2,external\ps3\ep6\sprite\re3b_okoru_b1_2.png
re3b_warai_b1_0,external\ps3\ep1\sprite\re3b_warai_b1_0.png
re3b_warai_b1_1,external\ps3\ep1\sprite\re3b_warai_b1_1.png
re3b_warai_b1_2,external\ps3\ep1\sprite\re3b_warai_b1_2.png
re_g1,external\ps3\ep6\background\re_g1.png
re_h1,external\ps3\ep6\background\re_h1.png
re_h3,external\ps3\ep6\background\re_h3.png
re_s2,external\ps3\ep6\background\re_s2.png
re_s4,external\ps3\ep6\background\re_s4.png
re_s4_01,external\ps3\ep6\background\re_s4_01.png
re_tel,external\ps3\ep5\background\re_tel.png
red,external\ps3\ep1\red.png
renasen1_def_0,external\ps3\ep6\sprite\renasen1_def_0.png
renasen1_def_1,external\ps3\ep6\sprite\renasen1_def_1.png
renasen1_def_2,external\ps3\ep6\sprite\renasen1_def_2.png
renasen1_ikakaku_0,external\ps3\ep6\portrait\renasen1_ikakaku_0.png
renasen1_ikakaku_1,external\ps3\ep6\portrait\renasen1_ikakaku_1.png
renasen1_ikakaku_2,external\ps3\ep6\portrait\renasen1_ikakaku_2.png
renasen1_muhyokaku_0,external\ps3\ep6\portrait\renasen1_muhyokaku_0.png
renasen1_muhyokaku_1,external\ps3\ep6\portrait\renasen1_muhyokaku_1.png
renasen1_muhyokaku_2,external\ps3\ep6\portrait\renasen1_muhyokaku_2.png
renasen1_tuukaku_0,external\ps3\ep6\portrait\renasen1_tuukaku_0.png
renasen1_tuukaku_1,external\ps3\ep6\portrait\renasen1_tuukaku_1.png
renasen1_tuukaku_2,external\ps3\ep6\portrait\renasen1_tuukaku_2.png
renasen1_warai_0,external\ps3\ep6\portrait\renasen1_warai_0.png
renasen1_warai_1,external\ps3\ep6\portrait\renasen1_warai_1.png
renasen1_warai_2,external\ps3\ep6\portrait\renasen1_warai_2.png
renasen2_def_0,external\ps3\ep6\sprite\renasen2_def_0.png
renasen2_def_1,external\ps3\ep6\sprite\renasen2_def_1.png
renasen2_def_2,external\ps3\ep6\sprite\renasen2_def_2.png
renasen2_ikakaku_0,external\ps3\ep6\sprite\renasen2_ikakaku_0.png
renasen2_ikakaku_1,external\ps3\ep6\sprite\renasen2_ikakaku_1.png
renasen2_ikakaku_2,external\ps3\ep6\sprite\renasen2_ikakaku_2.png
renasen2_muhyokaku_0,external\ps3\ep6\portrait\renasen2_muhyokaku_0.png
renasen2_muhyokaku_1,external\ps3\ep6\portrait\renasen2_muhyokaku_1.png
renasen2_muhyokaku_2,external\ps3\ep6\portrait\renasen2_muhyokaku_2.png
renasen2_shinken_0,external\ps3\ep6\sprite\renasen2_shinken_0.png
renasen2_shinken_1,external\ps3\ep6\sprite\renasen2_shinken_1.png
renasen2_shinken_2,external\ps3\ep6\sprite\renasen2_shinken_2.png
renasen2_tuukaku_0,external\ps3\ep6\sprite\renasen2_tuukaku_0.png
renasen2_tuukaku_1,external\ps3\ep6\sprite\renasen2_tuukaku_1.png
renasen2_tuukaku_2,external\ps3\ep6\sprite\renasen2_tuukaku_2.png
renasen2_warai_0,external\ps3\ep6\sprite\renasen2_warai_0.png
renasen2_warai_1,external\ps3\ep6\sprite\renasen2_warai_1.png
renasen2_warai_2,external\ps3\ep6\sprite\renasen2_warai_2.png
res1,external\ps3\ep1\background\res1.png
res1_01,external\ps3\ep2\background\res1_01.png
res2,external\ps3\ep1\background\res2.png
res4,external\ps3\ep2\background\res4.png
res4_01,external\ps3\ep2\background\res4_01.png
res5,external\ps3\ep1\background\res5.png
res5_01,external\ps3\ep2\background\res5_01.png
res_s1,external\ps3\ep2\background\res_s1.png
res_s1_01,external\ps3\ep2\background\res_s1_01.png
ri1_def_a1_0,external\ps3\ep1\sprite\ri1_def_a1_0.png
ri1_def_a1_1,external\ps3\ep1\sprite\ri1_def_a1_1.png
ri1_def_a1_2,external\ps3\ep1\sprite\ri1_def_a1_2.png
ri1_fuman_a1_0,external\ps3\ep2\portrait\ri1_fuman_a1_0.png
ri1_fuman_a1_1,external\ps3\ep2\portrait\ri1_fuman_a1_1.png
ri1_fuman_a1_2,external\ps3\ep2\portrait\ri1_fuman_a1_2.png
ri1_komaru_a1_0,external\ps3\ep1\sprite\ri1_komaru_a1_0.png
ri1_komaru_a1_1,external\ps3\ep1\sprite\ri1_komaru_a1_1.png
ri1_komaru_a1_2,external\ps3\ep1\sprite\ri1_komaru_a1_2.png
ri1_komaru_a2_0,external\ps3\ep2\sprite\ri1_komaru_a2_0.png
ri1_komaru_a2_1,external\ps3\ep2\sprite\ri1_komaru_a2_1.png
ri1_komaru_a2_2,external\ps3\ep2\sprite\ri1_komaru_a2_2.png
ri1_majime_a1_0,external\ps3\ep2\sprite\ri1_majime_a1_0.png
ri1_majime_a1_1,external\ps3\ep2\sprite\ri1_majime_a1_1.png
ri1_majime_a1_2,external\ps3\ep2\sprite\ri1_majime_a1_2.png
ri1_niko_a1_0,external\ps3\ep1\sprite\ri1_niko_a1_0.png
ri1_niko_a1_1,external\ps3\ep1\sprite\ri1_niko_a1_1.png
ri1_niko_a1_2,external\ps3\ep1\sprite\ri1_niko_a1_2.png
ri1_niyari_a1_0,external\ps3\ep6\portrait\ri1_niyari_a1_0.png
ri1_niyari_a1_1,external\ps3\ep6\portrait\ri1_niyari_a1_1.png
ri1_niyari_a1_2,external\ps3\ep6\portrait\ri1_niyari_a1_2.png
ri1_warai_a1_0,external\ps3\ep1\sprite\ri1_warai_a1_0.png
ri1_warai_a1_1,external\ps3\ep1\sprite\ri1_warai_a1_1.png
ri1_warai_a1_2,external\ps3\ep1\sprite\ri1_warai_a1_2.png
ri2_def_a1_0,external\ps3\ep1\sprite\ri2_def_a1_0.png
ri2_def_a1_1,external\ps3\ep1\sprite\ri2_def_a1_1.png
ri2_def_a1_2,external\ps3\ep1\sprite\ri2_def_a1_2.png
ri2_fuman_a1_0,external\ps3\ep7\sprite\ri2_fuman_a1_0.png
ri2_fuman_a1_1,external\ps3\ep7\sprite\ri2_fuman_a1_1.png
ri2_fuman_a1_2,external\ps3\ep7\sprite\ri2_fuman_a1_2.png
ri2_komaru_a1_0,external\ps3\ep1\sprite\ri2_komaru_a1_0.png
ri2_komaru_a1_1,external\ps3\ep1\sprite\ri2_komaru_a1_1.png
ri2_komaru_a1_2,external\ps3\ep1\sprite\ri2_komaru_a1_2.png
ri2_komaru_a2_0,external\ps3\ep3\sprite\ri2_komaru_a2_0.png
ri2_komaru_a2_1,external\ps3\ep3\sprite\ri2_komaru_a2_1.png
ri2_komaru_a2_2,external\ps3\ep3\sprite\ri2_komaru_a2_2.png
ri2_majime_a1_0,external\ps3\ep7\sprite\ri2_majime_a1_0.png
ri2_majime_a1_1,external\ps3\ep7\sprite\ri2_majime_a1_1.png
ri2_majime_a1_2,external\ps3\ep7\sprite\ri2_majime_a1_2.png
ri2_niko_a1_0,external\ps3\ep1\sprite\ri2_niko_a1_0.png
ri2_niko_a1_1,external\ps3\ep1\sprite\ri2_niko_a1_1.png
ri2_niko_a1_2,external\ps3\ep1\sprite\ri2_niko_a1_2.png
ri2_niyari_a1_0,external\ps3\ep5\portrait\ri2_niyari_a1_0.png
ri2_niyari_a1_1,external\ps3\ep5\portrait\ri2_niyari_a1_1.png
ri2_niyari_a1_2,external\ps3\ep5\portrait\ri2_niyari_a1_2.png
ri2_warai_a1_0,external\ps3\ep2\sprite\ri2_warai_a1_0.png
ri2_warai_a1_1,external\ps3\ep2\sprite\ri2_warai_a1_1.png
ri2_warai_a1_2,external\ps3\ep2\sprite\ri2_warai_a1_2.png
ri3_def_a1_0,external\ps3\ep1\sprite\ri3_def_a1_0.png
ri3_def_a1_1,external\ps3\ep1\sprite\ri3_def_a1_1.png
ri3_def_a1_2,external\ps3\ep1\sprite\ri3_def_a1_2.png
ri3_komaru_a1_0,external\ps3\ep2\sprite\ri3_komaru_a1_0.png
ri3_komaru_a1_1,external\ps3\ep2\sprite\ri3_komaru_a1_1.png
ri3_komaru_a1_2,external\ps3\ep2\sprite\ri3_komaru_a1_2.png
ri3_niko_a1_0,external\ps3\ep1\sprite\ri3_niko_a1_0.png
ri3_niko_a1_1,external\ps3\ep1\sprite\ri3_niko_a1_1.png
ri3_niko_a1_2,external\ps3\ep1\sprite\ri3_niko_a1_2.png
ri3_warai_a1_0,external\ps3\ep1\sprite\ri3_warai_a1_0.png
